Event Message Page URL,Event Source Page URL
https://www.tpqc.com.tw/,http://www.tpqc.com.tw/%e6%89%80%e6%9c%89%e8%aa%b2%e7%a8%8b/%e6%94%9d%e5%bd%b1%e7%be%8e%e5%ad%b8/
https://www.tpqc.com.tw/,http://www.tpqc.com.tw/%e6%89%80%e6%9c%89%e8%aa%b2%e7%a8%8b/%e8%aa%b2%e7%a8%8b-%e8%a8%ad%e8%a8%88%e5%89%b5%e6%96%b0/
https://www.tpqc.com.tw/,http://www.tpqc.com.tw/%e6%89%80%e6%9c%89%e8%aa%b2%e7%a8%8b/%e8%aa%b2%e7%a8%8b-%e9%87%91%e8%9e%8d%e7%ae%a1%e7%90%86/
https://www.tpqc.com.tw/,http://www.tpqc.com.tw/%e6%89%80%e6%9c%89%e8%aa%b2%e7%a8%8b/%e8%aa%b2%e7%a8%8b-%e9%a2%a8%e6%a0%bc%e6%89%8b%e4%bd%9c/
https://www.tpqc.com.tw/,http://www.tpqc.com.tw/%e6%89%80%e6%9c%89%e8%aa%b2%e7%a8%8b/%e8%aa%b2%e7%a8%8b-%e9%a2%a8%e6%a0%bc%e6%89%8b%e4%bd%9c/
https://www.tpqc.com.tw/,http://www.tpqc.com.tw/%e6%89%80%e6%9c%89%e8%aa%b2%e7%a8%8b/%e8%aa%b2%e7%a8%8b-%e9%a2%a8%e6%a0%bc%e6%89%8b%e4%bd%9c/
https://www.ymsnp.gov.tw/main_ch/index.aspx,https://www.ymsnp.gov.tw/main_ch/com_eeventcalendar/com_eeventcalendar_h.aspx?uid=1428&pid=15
https://www.ymsnp.gov.tw/main_ch/index.aspx,https://www.ymsnp.gov.tw/main_ch/newsList.aspx?uid=14&pid=11
https://www.ymsnp.gov.tw/main_ch/index.aspx,http://www.ymsnp.gov.tw/main_ch/com_eeventcalendar/eeventcalendar.aspx?uid=1427&pid=11/
https://www.ymsnp.gov.tw/main_ch/index.aspx,http://www.ymsnp.gov.tw/main_ch/com_eeventcalendar/eeventcalendar.aspx?uid=1583&pid=18/
https://www.ymsnp.gov.tw/main_ch/index.aspx,http://www.ymsnp.gov.tw/main_ch/com_eeventcalendar/eeventcalendar.aspx?pid=11&uid=1427
https://www.ymsnp.gov.tw/main_ch/index.aspx,http://www.ymsnp.gov.tw/main_ch/com_eeventcalendar/eeventcalendar.aspx?pid=18&uid=1583
https://www.ymsnp.gov.tw/main_ch/index.aspx,http://www.ymsnp.gov.tw/main_ch/com_eeventcalendar/com_eeventcalendar_h.aspx?pid=15&uid=1428
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?siteid=VN0
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?_class=A04
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?siteid=B2801
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?_class=A01
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?_class=A08
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?siteid=C0110
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?siteid=UJ0
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,http://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?_class=A10
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,http://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?_class=A09
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,http://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?_class=S01
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx?_class=S01
https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx,https://act.cjcu.edu.tw/ActiveSite/ActiveList.aspx
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/?page=4
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/?cid=132
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/?page=1
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/?cid=129
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/?cid=130
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/?page=3
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/?page=2
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/activitydetails?uid=2&pid=272
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/activitydetails?uid=2&pid=270
https://actio.ncl.edu.tw/,http://actio.ncl.edu.tw/#searchbox/
https://actio.ncl.edu.tw/,http://actio.ncl.edu.tw/?cid=134
https://actio.ncl.edu.tw/,http://actio.ncl.edu.tw/?cid=131
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/
https://actio.ncl.edu.tw/,https://actio.ncl.edu.tw/?cid=133
https://community.society.taichung.gov.tw/home.aspx,"https://community.society.taichung.gov.tw/latestevent/index.aspx?Parser=9,3,72"
https://community.society.taichung.gov.tw/home.aspx,"https://community.society.taichung.gov.tw/registration/index.aspx?Parser=99,7,36"
https://community.society.taichung.gov.tw/home.aspx,"https://community.society.taichung.gov.tw/latestevent/index.aspx?Parser=9,3,23"
https://community.society.taichung.gov.tw/home.aspx,"http://community.society.taichung.gov.tw/latestevent/index.aspx?Parser=9,3,23"
https://community.society.taichung.gov.tw/home.aspx,"https://community.society.taichung.gov.tw/registration/syncList.aspx?Parser=99,3,24"
https://conference.itl.nctu.edu.tw/conference_list.php,http://seminars.law.nycu.edu.tw/conference_list.php
https://conference.itl.nctu.edu.tw/conference_list.php,http://seminars.law.nycu.edu.tw/history_conf_list.php
https://conference.itl.nctu.edu.tw/conference_list.php,https://conference.itl.nctu.edu.tw/conference_list.php
https://conference.itl.nctu.edu.tw/conference_list.php,https://conference.itl.nctu.edu.tw/history_conf_list.php
http://erf.org.tw/,http://erf.org.tw/eventlist/hito/
http://erf.org.tw/,http://erf.org.tw/eventlist/recent/
